Name,Detail,Price,Brand,CPU_Type,RAM_GB,SSD_GB
ASUS ExpertBook P3 PM3406CKA-LY0067X Copilot+ PC,"PC portable 14"", AMD Ryzen AI 7 350, RAM 32 Go, SSD 1 To, dalle TN Full HD+, Windows 11 Pro, AZERTY",1399.95,asus,AMD Ryzen AI 7,32,1024
ASUS ExpertBook P3 PM3406CKA-LY0207X Copilot+ PC,"PC portable 14"", AMD Ryzen AI 5 330, RAM 16 Go, SSD 512 Go, dalle TN Full HD+, Windows 11 Pro, AZERTY",1229.95,asus,AMD Ryzen AI 5,16,512
ASUS ExpertBook P3 PM3406CKA-LY0439X Copilot+ PC,"PC portable 14"", AMD Ryzen AI 7 350, RAM 64 Go, SSD 1 To, dalle TN Full HD+, Windows 11 Pro, AZERTY",1349.95,asus,AMD Ryzen AI 7,64,1024
ASUS ExpertBook P3 PM3606CKA-MB0034X Copilot+ PC,"PC portable 14"", AMD Ryzen AI 7 350, RAM 16 Go, SSD 512 Go, dalle TN Full HD+, Windows 11 Pro, AZERTY",969.95,asus,AMD Ryzen AI 7,16,512
ASUS ExpertBook P3 PM3606CKA-MB0035X Copilot+ PC,"PC portable 16"", AMD Ryzen AI 7 350, RAM 32 Go, SSD 1 To, dalle TN Full HD+, Windows 11 Pro, AZERTY",1049.95,asus,AMD Ryzen AI 7,32,1024
ASUS ExpertBook P3 PM3606CKA-MB0133X Copilot+ PC,"PC portable 14"", AMD Ryzen AI 5 330, RAM 16 Go, SSD 512 Go, dalle TN Full HD+, Windows 11 Pro, AZERTY",899.95,asus,AMD Ryzen AI 5,16,512
ASUS ExpertBook P3 PM3606CKA-MB0306X Copilot+ PC,"PC portable 16"", AMD Ryzen AI 7 350, RAM 64 Go, SSD 1 To, dalle TN Full HD+, Windows 11 Pro, AZERTY",999.95,asus,AMD Ryzen AI 7,64,1024
Asus ExpertBook P5 Copilot+ PC P5405CSA-NZ0038X,"PC portable 14"", Intel Core Ultra 7 258V, RAM 32 Go, SSD 1 To, dalle IPS WQXGA, Windows 11 Pro, AZERTY",649.95,asus,Intel Core Ultra 7,32,1024
Asus ProArt P16 OLED H7606WM-SC065X,"PC portable 16"", AMD Ryzen AI 9 HX 370, RTX 5060, RAM 32 Go, SSD 1 To, dalle OLED tactile Ultra HD+, Windows 11 Pro, AZERTY",1049.95,asus,AMD Ryzen AI 9,32,1024
Asus ProArt P16 OLED H7606WP-SC142W,"PC portable 16"", AMD Ryzen AI 9 HX 370, RTX 5070, RAM 64 Go, SSD 2 To, dalle OLED tactile Ultra HD+, Windows 11, AZERTY",1199.95,asus,AMD Ryzen AI 9,64,2048
Asus ROG Strix SCAR 18 G835LX-SA012W,"PC portable gamer 18"", Intel Core Ultra 9 275HX, RTX 5090, RAM 64 Go, SSD 4 To, dalle Mini-LED QHD+ 240 Hz, Windows 11, AZERTY",1599.95,asus,Intel Core Ultra 9,64,4096
Asus ROG Strix SCAR 18 G835LX-SA038W,"PC portable gamer 18"", Intel Core Ultra 9 275HX, RTX 5090, RAM 64 Go, SSD 4 To (2 x 2 To), dalle Mini-LED QHD+ 240 Hz, Windows 11, AZERTY",2749.95,asus,Intel Core Ultra 9,64,4096
Asus ROG Strix SCAR 18 G835LX-SA083W,"PC portable gamer 18"", Intel Core Ultra 9 275HX, RTX 5090, RAM 64 Go, SSD 2 To, dalle Mini-LED QHD+ 240 Hz, Windows 11, AZERTY",2999.95,asus,Intel Core Ultra 9,64,2048
