Name,Detail,Price
Asus ExpertBook P1403CVA-S60637X,"PC portable 14"", Intel Core i7-13620H, RAM 16 Go, SSD 512 Go, dalle IPS Full HD, Windows 11 Pro, AZERTY",1 199€95
ASUS ExpertBook P3 P3405CVA-LY0040X,"PC portable 14"", Intel Core i5-13420H, RAM 16 Go, SSD 512 Go, dalle TN Full HD+, Windows 11 Pro, AZERTY",1 249€95
ASUS ExpertBook P3 P3405CVA-LY0041X,"PC portable 14"", Intel Core i7-13620H, RAM 16 Go, SSD 1 To, dalle TN Full HD+, Windows 11 Pro, AZERTY",999€95
ASUS ExpertBook P3 P3405CVA-LY0258X,"PC portable 14"", Intel Core i7-13620H, RAM 16 Go, SSD 512 Go, dalle TN Full HD+, Windows 11 Pro, AZERTY",1 129€95
ASUS ExpertBook P3 P3605CVA-MB0017X,"PC portable 16"", Intel Core i5-13420H, RAM 16 Go, SSD 512 Go, dalle IPS Full HD, Windows 11 Pro, AZERTY",1 049€95
ASUS ExpertBook P3 P3605CVA-MB0018X,"PC portable 16"", Intel Core i7-13620H, RAM 16 Go, SSD 1 To, dalle TN Full HD+, Windows 11 Pro, AZERTY",1 149€95
ASUS ExpertBook P3 P3605CVA-MB0168X,"PC portable 16"", Intel Corei7-13620H, RAM 16 Go, SSD 512 Go, dalle TN Full HD+, Windows 11 Pro, AZERTY",1 199€95
ASUS ExpertBook P3 PM3406CKA-LY0066X Copilot+ PC,"PC portable 14"", AMD Ryzen AI 7 350, RAM 16 Go, SSD 512 Go, dalle TN Full HD+, Windows 11 Pro, AZERTY",1 499€95
ASUS ExpertBook P3 PM3406CKA-LY0067X Copilot+ PC,"PC portable 14"", AMD Ryzen AI 7 350, RAM 32 Go, SSD 1 To, dalle TN Full HD+, Windows 11 Pro, AZERTY",1 399€95
ASUS ExpertBook P3 PM3406CKA-LY0207X Copilot+ PC,"PC portable 14"", AMD Ryzen AI 5 330, RAM 16 Go, SSD 512 Go, dalle TN Full HD+, Windows 11 Pro, AZERTY",1 229€95
ASUS ExpertBook P3 PM3406CKA-LY0439X Copilot+ PC,"PC portable 14"", AMD Ryzen AI 7 350, RAM 64 Go, SSD 1 To, dalle TN Full HD+, Windows 11 Pro, AZERTY",1 349€95
ASUS ExpertBook P3 PM3606CKA-MB0034X Copilot+ PC,"PC portable 14"", AMD Ryzen AI 7 350, RAM 16 Go, SSD 512 Go, dalle TN Full HD+, Windows 11 Pro, AZERTY",969€95
ASUS ExpertBook P3 PM3606CKA-MB0035X Copilot+ PC,"PC portable 16"", AMD Ryzen AI 7 350, RAM 32 Go, SSD 1 To, dalle TN Full HD+, Windows 11 Pro, AZERTY",1 049€95
ASUS ExpertBook P3 PM3606CKA-MB0133X Copilot+ PC,"PC portable 14"", AMD Ryzen AI 5 330, RAM 16 Go, SSD 512 Go, dalle TN Full HD+, Windows 11 Pro, AZERTY",899€95
ASUS ExpertBook P3 PM3606CKA-MB0306X Copilot+ PC,"PC portable 16"", AMD Ryzen AI 7 350, RAM 64 Go, SSD 1 To, dalle TN Full HD+, Windows 11 Pro, AZERTY",999€95
Asus ExpertBook P5 Copilot+ PC P5405CSA-NZ0038X,"PC portable 14"", Intel Core Ultra 7 258V, RAM 32 Go, SSD 1 To, dalle IPS WQXGA, Windows 11 Pro, AZERTY",649€95
Asus ProArt P16 OLED H7606WM-SC065X,"PC portable 16"", AMD Ryzen AI 9 HX 370, RTX 5060, RAM 32 Go, SSD 1 To, dalle OLED tactile Ultra HD+, Windows 11 Pro, AZERTY",1 049€95
Asus ProArt P16 OLED H7606WP-SC142W,"PC portable 16"", AMD Ryzen AI 9 HX 370, RTX 5070, RAM 64 Go, SSD 2 To, dalle OLED tactile Ultra HD+, Windows 11, AZERTY",1 199€95
Asus ROG Flow Z13 GZ302EA-RU004W,"PC portable gamer 13.4"", AMD Ryzen AI Max+ 395, RAM 32 Go, SSD 1 To, dalle IPS tactile WQXGA 180 Hz, Windows 11, AZERTY",
Asus ROG Strix G16 G614FP-S5050W,"PC portable gamer 16"", AMD Ryzen 9 9955HX, RTX 5070, RAM 32 Go, SSD 1 To, dalle IPS WQXGA 240 Hz, Windows 11, AZERTY",
Asus ROG Strix G16 G614FR-S5211W,"PC portable gamer 16"", AMD Ryzen 9 9955HX, RTX 5070 Ti, RAM 32 Go, SSD 1 To, dalle IPS WQXGA 240 Hz, Windows 11, AZERTY",
Asus ROG Strix G16 G614PM-RV066W,"PC portable gamer 16"", AMD Ryzen 9 8940HX, RTX 5060, RAM 32 Go, SSD 1 To, dalle IPS Full HD+ 165 Hz, Windows 11, AZERTY",
Asus ROG Strix G16 G614PR-RV079W,"PC portable gamer 16"", AMD Ryzen 9 8940HX, RTX 5070 Ti, RAM 16 Go, SSD 1 To, dalle IPS Full HD+ 165 Hz, Windows 11, AZERTY",
Asus ROG Strix G16 G615LP-DR5085W,"PC portable gamer 16"", Intel Core Ultra 9 275HX, RTX 5070, RAM 32 Go, SSD 1 To, dalle IPS WQXGA 16:10 240 Hz, Windows 11, AZERTY",
Asus ROG STRIX G16 G615LR-S5091W,"PC portable gamer 16"", Intel Core Ultra 9 275HX, RTX 5070 Ti, RAM 32 Go, SSD 1 To, dalle IPS WQXGA 240 Hz, Windows 11, AZERTY",
Asus ROG Strix G18 G814FM-S9033W,"PC portable gamer 18"", AMD Ryzen 9 9955 HX, RTX 5060, RAM 32 Go, SSD 1 To, dalle IPS QHD+ 240 Hz, Windows 11, AZERTY",
Asus ROG Strix G18 G815LW-S9057W,"PC portable gamer 18"", Intel Core Ultra 9 275HX, RTX 5080, RAM 32 Go, SSD 1 To, dalle IPS WQXGA 240 Hz, Windows 11, AZERTY",
Asus ROG Strix SCAR 16 G635LW-RW075W,"PC portable gamer 16"", Intel Core Ultra 9 275HX, RTX 5080, RAM 64 Go, SSD 1 To, dalle Mini-LED QHD+ 240 Hz, Windows 11, AZERTY",
Asus ROG Strix SCAR 18 G835LW-DRSA137W,"PC portable gamer 18"", Intel Core Ultra 9 275HX, RTX 5080, RAM 64 Go, SSD 1 To, dalle Mini-LED QHD+, 16:10, 240 Hz, Windows 11, AZERTY",
