Name,Detail,Price
ASUS Vivobook S16 OLED M3607KA-SH074X,"PC portable 16"", AMD Ryzen AI 5 330, RAM 32 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11 Pro, AZERTY",1 899€95
ASUS Vivobook S16 OLED M5606KA-SH166X,"PC portable 16"", AMD Ryzen AI 7 350, RAM 32 Go, SSD 1 To, dalle OLED Full HD+, Windows 11 Pro, AZERTY",1 079€95
Asus Vivobook S16 OLED S5606CA-RI048X,"PC portable 16"", Intel Core Ultra 7 255H, RAM 32 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11 Pro, AZERTY",1 499€95
Asus Vivobook S16 OLED S5606WA-MX116W,"PC portable 16"", AMD Ryzen AI 9 HX 370, RAM 32 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11, AZERTY",1 299€95
Asus Zenbook 14 OLED UM3406KA-QD016W,"PC portable 14"", AMD Ryzen AI 5 340, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11, AZERTY",999€95
Asus Zenbook 14 OLED UM3406KA-QD075W,"PC portable 14"", AMD Ryzen AI 7 350, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11, AZERTY",1 399€95
Asus Zenbook 14 OLED UM3406KA-QD172W,"PC portable 14"", AMD Ryzen AI 7 350, RAM 32 Go, SSD 1 To, dalle OLED Full HD+, Windows 11, AZERTY",949€95
Asus Zenbook 14 OLED UM3406KA-QD280X,"PC portable 14"", AMD Ryzen AI 7 350, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11 Pro, AZERTY",649€95
Asus Zenbook 14 OLED UM3406KA-QD281X,"PC portable 14"", AMD Ryzen AI 7 350, RAM 32 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11 Pro, AZERTY",1 049€95
Asus Zenbook 14 OLED UX3405CA-PP285X,"PC portable 14"", Intel Core Ultra 9 285H, RAM 32 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11, AZERTY",1 199€95
Asus Zenbook 14 OLED UX3405CA-PZ006W,"PC portable 14"", Intel Core Ultra 9 285H, RAM 32 Go, SSD 1 To, dalle OLED tactile WQXGA+ 120 Hz, Windows 11, AZERTY",
Asus Zenbook 14 OLED UX3405CA-QL101W,"PC portable 14"", Intel Core Ultra 7 255H, RAM 16 Go, SSD 512 Go, dalle OLED tactile Full HD+, Windows 11, AZERTY",
Asus Zenbook 14 OLED UX3405CA-QL647X,"PC portable 14"", Intel Core Ultra 7 255H, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11 Pro, AZERTY",
Asus Zenbook A14 UX3407QA-QD431X Copilot+ PC,"PC portable 14"", Snapdragon X X1-26-100, RAM 32 Go, SSD 512 Go, dalle OLED WUXGA, 60 Hz, 16:10, Windows 11 Pro, AZERTY",
Asus Zenbook A14 UX3407RA-QD011W Copilot+ PC,"PC portable 14"", Snapdragon X Elite X1E-78-100, RAM 32 Go, SSD 1 To, dalle OLED WUXGA, Windows 11, AZERTY",
Asus ZenBook Duo UX8406CA-PZ172X,"PC portable 14"", Intel Core Ultra 9 285H, RAM 32 Go, SSD 1 To, dalle tactile OLED WQXGA+ 120 Hz, Windows 11 Pro, AZERTY",
Asus ZenBook Duo UX8406CA-PZ264W,"PC portable 14"", Intel Core Ultra 9 285H, RAM 32 Go, SSD 1 To, dalle OLED tactile WQXGA+ 120 Hz, Windows 11, AZERTY",
Asus ZenBook Duo UX8406MA-PZ193W,"PC portable 14"", Intel Core Ultra 9 185H, RAM 32 Go, SSD 1 To, dalle tactile OLED WQXGA+ 120 Hz, Windows 11, AZERTY",
Asus ZenBook Duo UX8406MA-QL032W,"PC portable 2-en-1 14"", Intel Core Ultra 7 155H, RAM 16 Go, SSD 1 To, dalle OLED tactile Full HD+, Windows 11, AZERTY",
ASUS Zenbook S 13 OLED UM5302TA-LX376W,"PC portable 13.3"", AMD Ryzen 7 6800U, RAM 16 Go, SSD 1 To, dalle tactile OLED 2,8K, Windows 11, AZERTY",
Asus Zenbook S 16 OLED UM5606KA-RK002W,"PC portable 16"", AMD Ryzen AI 7 350, RAM 16 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11, AZERTY",
Asus Zenbook S 16 OLED UM5606KA-RK144W,"PC portable 16"", AMD Ryzen AI 7 350, RAM 24 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11, AZERTY",
Asus Zenbook S 16 OLED UM5606WA-RJ390W,"PC portable 16"", AMD Ryzen AI 9 HX 370, RAM 32 Go, SSD 1 To, dalle OLED tactile WQXGA+ 120 Hz, Windows 11, AZERTY",
Asus Zenbook S 16 OLED UM5606WA-RK084X,"PC portable 16"", AMD Ryzen AI 9 HX 370, RAM 32 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11 Pro, AZERTY",1 199€95
Asus Vivobook 17 P1704VA-AU766X,"Bureautique, 17.3"", IPS, Full HD, 60 Hz, Core i3-1315U, RAM 8 Go, SSD 512 Go, Windows 11 Professionnel, 2,10 kg, Clavier AZERTY Français",1 349€95
Asus ROG Zephyrus G14 GA403WW-DR8W,"PC portable gamer 14"", AMD Ryzen AI 9 HX 370, RTX 5080, RAM 64 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11, AZERTY",1 729€95
ASUS Vivobook S16 OLED S3607CA-PRO-OLED-SH3X,"PC portable 16"", Intel Core Ultra 5 225H, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11 Pro, AZERTY",1 699€95
ASUS ExpertBook BM1 BM1503CDA-S70020X,"PC portable 15.6"", AMD Ryzen 5 7535U, RAM 8 Go, SSD 256 Go, dalle TN Full HD, Windows 11 Pro, AZERTY",1 299€95
Asus ProArt P16 OLED H7606WM-SC054W,"PC portable 16"", AMD Ryzen AI 9 HX 370, RTX 5060, RAM 32 Go, SSD 1 To, dalle OLED tactile Ultra HD+, Windows 11, AZERTY",1 299€95
Asus ProArt P16 OLED H7606WP-SC121X,"PC portable 16"", AMD Ryzen AI 9 HX 370, RTX 5070, RAM 64 Go, SSD 2 To, dalle OLED tactile Ultra HD+, Windows 11 Pro, AZERTY",1 199€95
Asus ROG Strix G18 G814FP-S9035W,"PC portable gamer 18"", AMD Ryzen 9 9955 HX, RTX 5070, RAM 32 Go, SSD 1 To, dalle IPS QHD+ 240 Hz, Windows 11, AZERTY",1 599€95
Asus ROG Strix G18 G815LP-S9058W,"PC portable gamer 18"", Intel Core Ultra 9 275 HX, RTX 5070, RAM 32 Go, SSD 1 To, dalle IPS QHD+ 240 Hz, Windows 11, AZERTY",2 499€95
Asus ROG Strix SCAR 16 G635LX-DRW113W,"PC portable gamer 16"", Intel Core Ultra 9 275HX, RTX 5090, RAM 64 Go, SSD 2 To, dalle Mini-LED QHD+ 240 Hz, Windows 11, AZERTY",2 299€95
Asus ROG STRIX SCAR 18 G835LX-DRSA082W,"PC portable gamer 18"", Intel Core Ultra 9 275HX, RTX 5090, RAM 64 Go, SSD 4 To, dalle Mini-LED QHD+ 240 Hz, Windows 11, AZERTY",2 299€95
Asus ROG Zephyrus G14 GA403WM-QS047X,"PC portable gamer 14"", AMD Ryzen AI 9 HX 370, RTX 5060, RAM 32 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11 Pro, AZERTY",1 999€95
Asus Vivobook 15 S1504VA-NJ2346,"PC portable 15.6"", Intel Core i5-1334U, RAM 16 Go, SSD 512 Go, dalle TN Full HD, Sans OS, AZERTY",1 499€95
Asus VivoBook 16 Flip OLED Copilot+ PC TP3607SA-RJ081X,"PC portable 16"", Intel Core Ultra 7 258V, RAM 16 Go, SSD 512 Go, dalle OLED tactile WQXGA+ 120 Hz, Windows 11 Pro, AZERTY",1 799€95
Asus Vivobook 16 P1605VA-SH2312X,"PC portable 16"", Intel Core i7-13620H, RAM 16 Go, SSD 1 To, dalle Oled FHD+ 144 Hz, Windows 11 Pro, AZERTY",1 499€95
Asus Vivobook Go 15 S1504GA-NJ875W,"PC portable 15.6"", Intel Core i3-N305, RAM 8 Go, SSD 256 Go, dalle IPS Full HD, Windows 11 en mode S, AZERTY",1 999€95
Acer Aspire 17 A17-51M-50E6,"PC portable 17"", Intel Core i5-1334U, RAM 16 Go, SSD 512 Go, dalle IPS Full HD, Windows 11, AZERTY",1 999€95
Acer Aspire 17 A17-51M-71LP,"PC portable 17"", Intel Core 7-150U, RAM 16 Go, SSD 512 Go, dalle IPS Full HD, Windows 11, AZERTY",649€95
Acer Aspire 17 A17-51M-72TJ,"PC portable 17"", Intel Core i7-13620H, RAM 16 Go, SSD 1 To, dalle IPS Full HD, Windows 11, AZERTY",4 299€95
Acer Aspire Go 15 AG15-71P-5730,"PC portable 15.6"", Intel Core i5-1334U, RAM 8 Go, SSD 512 Go, Windows 11, dalle TN Full HD, AZERTY",1 199€95
Acer Aspire Go 15 AG15-71P-59NM,"PC portable 15.6"", Intel Core i5-1334U, RAM 32 Go, SSD 1 To, Windows 11, dalle TN Full HD, AZERTY",929€95
Acer Aspire Go 15 AG15-72P-32YM,"PC portable 15.6"", Intel Core i3-1305U, RAM 16 Go, SSD 512 Go, Windows 11, dalle TN Full HD, AZERTY",2 599€95
Acer Extensa EX215-57-53NW,"PC portable 15.6"", Intel Core i5-1334U, RAM 8 Go, SSD 512 Go, Windows 11 Pro, dalle IPS Full HD, AZERTY",3 299€95
Acer NITRO 18 AI AN18-61-R6MB Copilot+ PC,"PC portable gamer 18"", AMD Ryzen AI 7 350, RTX 5070, RAM 32 Go, SSD 1 To, Windows 11, dalle IPS QHD+ 165 Hz, AZERTY",2 899€95
Acer Nitro V 15 ANV15-52-91DU,"PC portable gamer 15.6"", Intel Core i9-13900H, RTX 5060, RAM 32 Go, SSD 1 To, Windows 11, dalle IPS Full HD 165 Hz, AZERTY",2 799€95
Acer NITRO V 16 AI ANV16-42-R7B0,"PC portable gamer 15.6"", AMD Ryzen 7 260, RTX 5070, RAM 32 Go, SSD 1 To, Windows 11, dalle IPS Full HD 165 Hz, AZERTY",5 399€95
Acer Nitro V 17 AI ANV17-41-R6YK,"PC portable gamer 17.3"", AMD Ryzen 7 260, RTX 5070, RAM 16 Go, SSD 1 To, Windows 11, dalle IPS Full HD 144 Hz, AZERTY",6 099€95
Acer Predator Helios 18 AI PH18-73-91FQ,"PC portable gamer, 18"", Mini-LED, 2560 x 1600 (QHD+), 16:10, 250 Hz, Core Ultra 9 275HX, RTX 5080, RAM 64 Go, SSD 1 To, Windows 11, 3,50 kg, Clavier AZERTY Français",2 499€95
Acer Predator Helios 18 AI PH18-73-9498,"PC portable gamer 18"", Intel Core Ultra 9 275HX, RTX 5090, RAM 128 Go, SSD 3 To, Windows 11, dalle Mini-LED UHD+ 120 Hz, AZERTY",629€95
Acer Predator Helios 18 AI PH18-73-98VA,"PC portable gamer 18"", Intel Core Ultra 9 275HX, RTX 5090, RAM 64 Go, SSD 1 To, Windows 11, dalle Mini-LED UHD+ 120 Hz, AZERTY",1 499€95
Acer Predator Helios Neo 16 PHN16-73-99SJ,"PC portable gamer 16"", Intel Core Ultra 9 275HX, RTX 5070, RAM 64 Go, SSD 2 To, Windows 11, dalle IPS QHD+ 240 Hz, AZERTY",1 099€95
Acer Swift 14 IA SF14-51-577B Copilot+ PC,"PC portable 14"", Intel Core Ultra 5 226V, RAM 16 Go, SSD 512 Go, Windows 11, dalle OLED WQXGA+ 90 Hz, AZERTY",499€95
Acer Predator Helios Neo 18 AI PHN18-72-977B,"PC portable gamer 18"", Intel Core Ultra 9 275HX, RTX 5070, RAM 32 Go, SSD 1 To, Windows 11, dalle IPS QHD+ 240 Hz, AZERTY",649€95
Acer Predator Helios Neo 18 AI PHN18-72-980V,"PC portable gamer 18"", Intel Core Ultra 9 275HX, RTX 5070 Ti, RAM 64 Go, SSD 2 To, Windows 11, dalle IPS QHD+ 240 Hz, AZERTY",1 049€95
"Apple MacBook Air M2 13"" (2022) Gris sidéral (MLXX3FN/A)","MacBook 13.6"", Apple M2 (CPU 8 coeurs / GPU-10 coeurs), RAM 8 Go, SSD 256 Go, Mac OS Monterey, AZERTY",1 199€95
Apple MacBook Air M3 13 pouces (2024) Lumière stellaire 16 Go/256 Go (MC8J4FN/A),"PC portable, 13.6"", Apple M3 8 coeurs (GPU 8 coeurs), RAM 16 Go, SSD 256 Go, Mac OS Sequoia, 1,24 kg",
"Apple MacBook Air M3 13"" (2024) Gris sidéral 24 Go/512 To (MC8M4FN/A)","MacBook 13.6"", Apple M3 (CPU 8 coeurs / GPU 10 coeurs), RAM 24 Go, SSD 512 Go, Mac OS Sonoma, AZERTY",
"Apple MacBook Air M3 13"" (2024) Lumière stellaire 24 Go/512 Go (MC8P4FN/A)","MacBook 13.6"", Apple M3 (CPU 8 coeurs / GPU 10 coeurs), RAM 24 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",
"Apple MacBook Air M3 13"" (2024) Minuit 8Go/512 Go (MRXW3FN/A)","MacBook 13.6"", Apple M3 (CPU 8 coeurs / GPU 10 coeurs), RAM 8 Go, SSD 512 Go, Mac OS Sonoma, AZERTY",
"Apple MacBook Air M3 15"" (2024) Argent 8Go/256 Go (MRYP3FN/A)","MacBook 15.3"", Apple M3 (CPU 8 coeurs / GPU 10 coeurs), RAM 8 Go, SSD 256 Go, Mac OS Sonoma, AZERTY",
"Apple MacBook Air M3 15"" (2024) Argent 8Go/512 Go (MRYQ3FN/A)","MacBook 15.3"", Apple M3 (CPU 8 coeurs / GPU 10 coeurs), RAM 8 Go, SSD 512 Go, Mac OS Sonoma, AZERTY",
"Apple MacBook Air M3 15"" (2024) Gris sidéral 24Go/512 Go (MC9H4FN/A)","MacBook 15.3"", Apple M3 (CPU 8 coeurs / GPU 10 coeurs), RAM 24 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",
"Apple MacBook Air M3 15"" (2024) Gris sidéral 8Go/256 Go (MRYM3FN/A)","MacBook 15.3"", Apple M3 (CPU 8 coeurs / GPU 10 coeurs), RAM 8 Go, SSD 256 Go, Mac OS Sonoma, AZERTY",
"Apple MacBook Air M3 15"" (2024) Gris sidéral 8Go/512 Go (MRYN3FN/A)","MacBook 15.3"", Apple M3 (CPU 8 coeurs / GPU 10 coeurs), RAM 8 Go, SSD 512 Go, Mac OS Sonoma, AZERTY",
"Apple MacBook Air M3 15"" (2024) Lumière stellaire 8Go/256 Go (MRYR3FN/A)","MacBook 15.3"", Apple M3 (CPU 8 coeurs / GPU 10 coeurs), RAM 8 Go, SSD 256 Go, Mac OS Sonoma, AZERTY",
"Apple MacBook Air M3 15"" (2024) Lumière stellaire 8Go/512 Go (MRYT3FN/A)","MacBook 15.3"", Apple M3 (CPU 8 coeurs / GPU 10 coeurs), RAM 8 Go, SSD 512 Go, Mac OS Sonoma, AZERTY",
"Apple MacBook Air M3 15"" (2024) Minuit 8Go/256 Go (MRYU3FN/A)","MacBook 15.3"", Apple M3 (CPU 8 coeurs / GPU 10 coeurs), RAM 8 Go, SSD 256 Go, Mac OS Sonoma, AZERTY",
"Apple MacBook Air M3 15"" (2024) Minuit 8Go/512 Go (MRYV3FN/A)","MacBook 15.3"", Apple M3 (CPU 8 coeurs / GPU 10 coeurs), RAM 8 Go, SSD 512 Go, Mac OS Sonoma, AZERTY",
"Apple MacBook Air M4 13"" (2025) Argent 16Go/256 Go (MW0W3FN/A)","MacBook 13.6"", M4 (CPU 10 coeurs / GPU 8 coeurs), RAM 16 Go, SSD 256 Go, Mac OS Sequoia, AZERTY",2 299€95
"Apple MacBook Air M4 13"" (2025) Argent 16Go/512 Go (MW0X3FN/A)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",2 699€95
"Apple MacBook Air M4 13"" (2025) Bleu ciel 16Go/256 Go (MC6T4FN/A)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 8 coeurs), RAM 16 Go, SSD 256 Go, Mac OS Sequoia, AZERTY",849€00
"Apple MacBook Air M4 13"" (2025) Bleu ciel 16Go/512 Go (MC6U4FN/A)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",1 079€00
"Apple MacBook Air M4 13"" (2025) Bleu ciel 24Go/512 Go (MC6V4FN/A)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 24 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",1 399€00
"Apple MacBook Air M4 13"" (2025) Lumière stellaire 16Go/256 Go (MW0Y3FN/A)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 8 coeurs), RAM 16 Go, SSD 256 Go, Mac OS Sequoia, AZERTY",1 399€00
"Apple MacBook Air M4 13"" (2025) Lumière stellaire 16Go/512 Go (MW103FN/A)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",999€00
"Apple MacBook Air M4 13"" (2025) Lumière stellaire 24Go/512 Go (MC6A4FN/A)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 24 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",1 249€00
"Apple MacBook Air M4 13"" (2025) Minuit 16Go/256 Go (MW123FN/A)","MacBook 13.6"", 2560 x 1664, Apple M4 (CPU 10 coeurs / GPU 8 coeurs), RAM 16 Go, SSD 256 Go, Mac OS Sequoia, AZERTY",1 399€00
"Apple MacBook Air M4 13"" (2025) Minuit 16Go/512 Go (MW133FN/A)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",1 599€00
"Apple MacBook Air M4 13"" (2025) Minuit 24Go/512 Go (MC6C4FN/A)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 24 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",1 249€00
"Apple MacBook Air M4 15"" (2025) Argent 16Go/256 Go (MW1G3FN/A)","MacBook 15.3"", 2880 x 1864, Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 256 Go, Mac OS Sequoia, AZERTY",1 399€00
"Apple MacBook Air M4 15"" (2025) Argent 16Go/512 Go (MW1H3FN/A)","MacBook 15.3"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",1 249€00
"Apple MacBook Air M4 15"" (2025) Bleu ciel 16Go/256 Go (MC7A4FN/A)","MacBook 15.3"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 256 Go, Mac OS Sequoia, AZERTY",1 399€00
"Apple MacBook Air M4 15"" (2025) Bleu ciel 16Go/512 Go (MC7C4FN/A)","MacBook 15.3"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",1 249€00
"Apple MacBook Air M4 15"" (2025) Lumière stellaire 16Go/256 Go (MW1J3FN/A)","MacBook 15.3"", Apple M4 (CPU10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 256 Go, Mac OS Sequoia, AZERTY",1 399€00
"Apple MacBook Air M4 15"" (2025) Lumière stellaire 24Go/1 To (MC6K4FN/A-1TB-70W)","MacBook 15.3"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 24 Go, SSD 1 To, Mac OS Sequoia, AZERTY",1 099€00
"Apple MacBook Air M4 15"" (2025) Lumière stellaire 24Go/512 Go (MC6K4FN/A)","MacBook 15.3"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 24 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",1 349€00
"Apple MacBook Air M4 15"" (2025) Minuit 16Go/256 Go (MW1L3FN/A)","MacBook 15.3"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 256 Go, Mac OS Sequoia, AZERTY",1 099€00
"Apple MacBook Air M4 15"" (2025) Minuit 16Go/512 Go (MW1M3FN/A)","MacBook 15.3"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",1 349€00
"Apple MacBook Air M4 15"" (2025) Minuit 24Go/512 Go (MC6L4FN/A)","MacBook 15.3"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 24 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",1 599€00
"Apple MacBook Pro M4 14"" Argent 32 Go/1 To (MW2W3FN/A-32GB-1TB)","PC portable, 14"", Apple M4 10 coeurs (GPU 10 coeurs), RAM 32 Go, SSD 1 To, Mac OS Sequoia, 1,55 kg, Clavier AZERTY Français",1 099€00
"Apple MacBook Pro M4 14"" Noir sidéral 16 Go/1 To (MW2V3FN/A)","MacBook 14"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 1 To, Mac OS Sequoia, AZERTY",1 349€00
"Apple MacBook Pro M4 Max 14"" Noir sidéral 36 Go/1 To (MX2K3FN/A)","MacBook 14"", Apple M4 Max (CPU 14 coeurs / GPU 32 coeurs), RAM 36 Go, SSD 1 To, Mac OS Sequoia, AZERTY",1 599€00
"Apple MacBook Pro M4 Pro 14"" Argent 24 Go/1 To (MX2F3FN/A)","PC portable, 14"", Apple M4 Pro 14 coeurs (GPU 20 coeurs), RAM 24 Go, SSD 1 To, Mac OS Sequoia, 1,55 kg, Clavier AZERTY Français",1 099€00
"Apple MacBook Pro M4 Pro 14"" Argent 24 Go/512 Go (MX2E3FN/A)","MacBook 14"", Apple M4 Pro (CPU 12 coeurs / GPU 16 coeurs), RAM 24 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",1 349€00
"Apple MacBook Pro M4 Pro 14"" Noir sidéral 24 Go/1 To (MX2J3FN/A)","MacBook 14"", Apple M4 Pro (CPU 14 coeurs / GPU 20 coeurs), RAM 24 Go, SSD 1 To, Mac OS Sequoia, AZERTY",1 599€00
"Apple MacBook Pro M4 Pro 14"" Noir sidéral 24 Go/512 Go (MX2H3FN/A)","MacBook 14"", Apple M4 Pro (CPU 12 coeurs / GPU 16 coeurs), RAM 24 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",1 399€00
"Apple MacBook Pro M4 Pro 16"" Noir sidéral 24 Go/512 Go (MX2X3FN/A)","MacBook 16"", Apple M4 Pro (CPU 14 coeurs / GPU 20 coeurs), RAM 24 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",1 649€00
"Apple MacBook Pro M4 Pro 16"" Noir sidéral 24 Go/512 Go (MX2X3FN/A-NANO)","MacBook 16"", Apple M4 Pro (CPU 14 coeurs / GPU 20 coeurs), RAM 24 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",1 399€00
"Apple MacBook Pro M4 Pro 16"" Noir sidéral 48 Go/512 Go (MX2Y3FN/A)","MacBook 16"", Apple M4 Pro (CPU 14 coeurs / GPU 20 coeurs), RAM 48 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",1 649€00
"Apple MacBook Pro M5 14"" Argent 16 Go/1 To (MDE54FN/A)","MacBook 14"", Apple M5 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 1 To, Mac OS Tahoe, AZERTY",1 399€00
"Apple MacBook Pro M5 14"" Noir sidéral 16 Go/1 To (MDE14FN/A)","MacBook 14"", Apple M5 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 1 To, Mac OS Tahoe, AZERTY",649€95
"Apple MacBook Pro M5 14"" Noir sidéral 16 Go/512 Go (MDE04FN/A)","MacBook 14"", Apple M5 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 512 Go, Mac OS Tahoe, AZERTY",1 049€95
"Apple MacBook Pro M4 Max 16"" Argent 36 Go/1 To (MX2V3FN/A)","MacBook 16"", Apple M4 Max (CPU 14 coeurs / GPU 32 coeurs), RAM 36 Go, SSD 1 To, Mac OS Sequoia, AZERTY",1 199€95
"Apple MacBook Pro M5 14"" Argent 16 Go/512 Go (MDE44FN/A)","MacBook 14"", Apple M5 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 512 Go, Mac OS Tahoe, AZERTY",
"Apple MacBook Pro M5 14"" Argent 24 Go/1 To (MDE64FN/A)","MacBook 14"", Apple M5 (CPU 10 coeurs / GPU 10 coeurs), RAM 24 Go, SSD 1 To, Mac OS Tahoe, AZERTY",
"Apple MacBook Pro M5 14"" Noir sidéral 24 Go/1 To (MDE34FN/A)","MacBook 14"", Apple M5 (CPU 10 coeurs / GPU 10 coeurs), RAM 24 Go, SSD 1 To, Mac OS Tahoe, AZERTY",
"Apple MacBook Air M4 13"" (2025) Argent 16 Go/1 To (MW0W3FN/A-CPU10-GPU10)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 256 Go, Mac OS Sequoia, AZERTY",
"Apple MacBook Air M4 13"" (2025) Argent 16Go/1To (MW0X3FN/A-1TB)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 1 To, Mac OS Sequoia, AZERTY",
"Apple MacBook Air M4 13"" (2025) Argent 16Go/1To (MW0X3FN/A-1TB-70W)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 1 To, Mac OS Sequoia, AZERTY",
"Apple MacBook Air M4 13"" (2025) Argent 16Go/256 Go (MW0W3FN/A-70W)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 8 coeurs), RAM 16 Go, SSD 256 Go, Mac OS Sequoia, AZERTY",
"Apple MacBook Air M4 13"" (2025) Argent 16Go/512 Go (MW0X3FN/A-70W)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 512 Go, Mac OS Sequoia, AZERTY",
"Apple MacBook Air M4 13"" (2025) Argent 24 Go / 256 Go (MW0W3FN/A-CPU10-GPU10-24GB-70W)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 24 Go, SSD 256 Go, Mac OS Sequoia, AZERTY",
"Apple MacBook Air M4 13"" (2025) Argent 24 Go/1 To (MW0W3FN/A-CPU10-GPU10-24GB-1TB-35W)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 24 Go, SSD 1 To, Mac OS Sequoia, AZERTY",
"Apple MacBook Air M4 13"" (2025) Argent 24 Go/256 Go (MW0W3FN/A-CPU10-GPU10-24GB)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 24 Go, SSD 256 Go, Mac OS Sequoia, AZERTY",
"Apple MacBook Air M4 13"" (2025) Argent 32Go/1 To (MW0X3FN/A-32GB-1TB)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 32 Go, SSD 1 To, Mac OS Sequoia, AZERTY",
"Apple MacBook Air M4 13"" (2025) Bleu ciel 16Go/1To (MC6U4FN/A-1TB)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 16 Go, SSD 1 To, Mac OS Sequoia, AZERTY",
"Apple MacBook Air M4 13"" (2025) Bleu ciel 16Go/256 Go (MC6T4FN/A-GPU10-24GB)","MacBook 13.6"", Apple M4 (CPU 10 coeurs / GPU 10 coeurs), RAM 24 Go, SSD 256 Go, Mac OS Sequoia, AZERTY",2 049€00
